1000,100,10
563,444,624
587,581,603
595,581,595
592,598,588
602,611,594
585,594,574
600,306,571
591,602,586
585,590,600
568,614,604
577,591,596
616,607,573
575,597,573
598,577,592
600,562,602
588,589,629
579,601,580
594,605,601
590,597,589
576,587,582
591,582,563
576,606,565
602,595,584
610,583,585
600,620,597
622,576,606
588,577,558
581,599,579
578,599,576
552,600,605
605,596,599
608,567,593
565,601,604
603,608,615
591,612,554
577,578,583
576,590,592
608,555,600
584,595,573
605,589,602
600,578,588
582,604,565
609,590,592
576,577,604
602,569,571
592,570,584
563,574,588
601,577,564
577,598,579
583,571,598
